Mô hình,Accuracy,Precision,Recall,F1-Score
Ensemble (Random Forest),0.9262740039465905,0.9228614718139675,0.9262740039465905,0.9226392450139936
Neural Network (MLP),0.9238937645405754,0.9208508541227006,0.9238937645405754,0.9187523426713179
KNN,0.9148258202228211,0.9105510843683448,0.9148258202228211,0.9113901065497251
Decision Tree,0.8727032609279862,0.869035761826089,0.8727032609279862,0.8486631619319243
Logistic Regression,0.8478105636560477,0.8375477608044143,0.8478105636560477,0.8089985813648384
SVM,0.8453919332918711,0.8426614821918406,0.8453919332918711,0.8026838706583652
Naive Bayes,0.8048203687067622,0.7902737767115361,0.8048203687067622,0.7616197672704157
